date,银行股轮动,银行股等权持有,沪深300
2023-11-30,2.1966695452724347,1.2708805753225383,0.9306126360171205
2023-12-01,2.1966695452724347,1.271591563037635,0.9270671408189775
2023-12-04,2.1966695452724347,1.2700344005048123,0.9210142458635888
2023-12-05,2.1966695452724347,1.2486439914911698,0.9034784182619621
2023-12-06,2.1966695452724347,1.2378391844676317,0.9048998104810374
2023-12-07,2.1966695452724347,1.2422318928246079,0.902685206873789
2023-12-08,2.1966695452724347,1.2419976815558236,0.9048625455164924
2023-12-11,2.1966695452724347,1.2449548495101104,0.9101834500968888
2023-12-12,2.1966695452724347,1.262930846726566,0.9121398607355039
2023-12-13,2.1966695452724347,1.247002305753722,0.8969171227188518
2023-12-14,2.1966695452724347,1.241258619401289,0.8922190754029939
2023-12-15,2.1966695452724347,1.2323217934678685,0.8894481591107515
2023-12-18,2.1966695452724347,1.2388390757140857,0.8862061071953322
2023-12-19,2.1966695452724347,1.2385843986791008,0.8874491599412277
2023-12-20,2.1966695452724347,1.2348386235063815,0.8777230041949703
2023-12-21,2.1966695452724347,1.238582184578146,0.8866053746726006
2023-12-22,2.1966695452724347,1.2418641431309816,0.8882982687762185
2023-12-25,2.1966695452724347,1.2462745754501285,0.891018611188007
2023-12-26,2.1966695452724347,1.2425881253513262,0.8849870104980728
2023-12-27,2.1966695452724347,1.2489300923031064,0.8880666936394029
2023-12-28,2.1966695452724347,1.2598466663124217,0.9088765145546304
2023-12-29,2.1966695452724347,1.2720476604821984,0.9132870892868551
2024-01-02,2.1966695452724347,1.2583552418292365,0.9013729477651667
2024-01-03,2.1966695452724347,1.2664592646539192,0.8992302123038266
2024-01-04,2.1966695452724347,1.2718360616979554,0.8909121398607355
2024-01-05,2.1966695452724347,1.2858724131629455,0.8861369008326058
2024-01-08,2.1966695452724347,1.2757871345926075,0.8746779242350035
2024-01-09,2.1966695452724347,1.2787720215789473,0.8763921126040757
2024-01-10,2.1966695452724347,1.2692089213381743,0.8723009518536659
2024-01-11,2.1966695452724347,1.2625705601602688,0.8772358978727028
2024-01-12,2.1966695452724347,1.2729002747678673,0.8741748472136454
2024-01-15,2.1966695452724347,1.2807411758674003,0.8733097676795639
2024-01-16,2.1966695452724347,1.3001045004810587,0.878622686910415
2024-01-17,2.1966695452724347,1.2904495774986626,0.8595110836651689
2024-01-18,2.1966695452724347,1.2908055193013843,0.8716621238900364
2024-01-19,2.1966695452724347,1.2918189897055001,0.8703445412150508
2024-01-22,2.1966695452724347,1.2899553823566816,0.8568013883861076
2024-01-23,2.1966695452724347,1.289655939639477,0.8602696918719788
2024-01-24,2.1966695452724347,1.3175344928974193,0.8722956282873022
2024-01-25,2.1966695452724347,1.3370035789481236,0.8898128234066566
2024-01-26,2.1966695452724347,1.3645218726558648,0.8873906007112284
2024-01-29,2.1966695452724347,1.3806193182579796,0.879442516130406
2024-01-30,2.1966695452724347,1.3658916708312479,0.8637592896233044
2024-01-31,2.1966695452724347,1.3711525458028424,0.8558564553565724
2024-02-01,2.1966695452724347,1.3583611377891123,0.8564846361874747
2024-02-02,2.1966695452724347,1.3645237334473788,0.8463485658312216
2024-02-05,2.1966695452724347,1.385560458303551,0.8518824130661613
2024-02-06,2.1966695452724347,1.4012838055025278,0.8815000745299291
2024-02-07,2.1966695452724347,1.3829038603409856,0.8900018100125636
