date,优化版,朴素版,买入持有
2020-12-30,1.2597401601199176,1.2597401601199176,1.3611587274546963
2020-12-31,1.2837785676214186,1.2837785676214186,1.3871324077425948
2021-01-04,1.297679852057878,1.297679852057878,1.4021528502374312
2021-01-05,1.3225065656057495,1.3225065656057495,1.428978301143502
2021-01-06,1.3346193806995066,1.3346193806995066,1.4420662890483593
2021-01-07,1.3582660986342174,1.3582660986342174,1.4676167458103533
2021-01-08,1.3537752176263023,1.3537752176263023,1.4627643150699516
2021-01-11,1.3404060397711426,1.3404060397711426,1.4483188177423818
2021-01-12,1.3786364195637024,1.3786364195637024,1.4896270309405677
2021-01-13,1.3741085867098635,1.3741085867098635,1.4847346734524394
2021-01-14,1.3476239670082197,1.3476239670082197,1.456117842465024
2021-01-15,1.344574207991325,1.344574207991325,1.4528225548859692
2021-01-18,1.3594633384421422,1.3594633384421422,1.468910372436703
2021-01-19,1.3395093416433965,1.3395093416433965,1.4473499286642109
2021-01-20,1.349094650475979,1.349094650475979,1.4577069270245524
2021-01-21,1.3709060933964843,1.3709060933964843,1.4812743553161134
2021-01-22,1.3720910159224344,1.3720910159224344,1.4825546730265537
2021-01-25,1.3859208601234416,1.3859208601234416,1.4974979238091182
2021-01-26,1.3580961201429687,1.3580961201429687,1.4674330827708097
2021-01-27,1.3617986951045136,1.3617986951045136,1.4714337428930389
2021-01-28,1.3246349919309488,1.3246349919309488,1.4312780818125679
2021-01-29,1.3184320087285732,1.3184320087285732,1.4245757117608229
2021-02-01,1.3346144537867162,1.3346144537867162,1.4420609654819956
2021-02-02,1.355169533945819,1.355169533945819,1.4642708843508443
2021-02-03,1.351255101734312,1.351255101734312,1.4600413108749812
2021-02-04,1.3484837132900416,1.3484837132900416,1.4570468047954686
2021-02-05,1.3508141430396234,1.3508141430396234,1.459564851685441
2021-02-08,1.3708050916842929,1.3708050916842929,1.4811652222056602
2021-02-09,1.4007828925539145,1.4007828925539145,1.513556461744852
2021-02-10,1.4307064973828483,1.4307064973828483,1.5458891420540448
2021-02-18,1.4210152599252845,1.4210152599252845,1.5354176870168863
2021-02-19,1.4235920353143572,1.4235920353143572,1.5382019122250379
2021-02-22,1.3788778382904026,1.3788778382904026,1.489887885692383
2021-02-23,1.374527374296997,1.374527374296997,1.4851871765933433
2021-02-24,1.3395216589253705,1.3395216589253705,1.4473632375801195
2021-02-25,1.3474022559326775,1.3474022559326775,1.4558782819786633
2021-02-26,1.3146875550083144,1.3146875550083144,1.4205298013245033
2021-03-01,1.3348928243593403,1.3348928243593403,1.4423617469815377
2021-03-02,1.3178580233885595,1.3178580233885595,1.423955516279466
2021-03-03,1.3431281590875142,1.3431281590875142,1.451260088158259
2021-03-04,1.3008798819148615,1.3008798819148615,1.405610506590575
2021-03-05,1.2964678315115834,1.2964678315115834,1.4008432529119907
2021-03-08,1.2514407755254757,1.2514407755254757,1.3521911799152488
2021-03-09,1.224584173908201,1.224584173908201,1.3231724196673835
2021-03-10,1.2326175052119923,1.2326175052119923,1.3318524946231978
2021-03-11,1.2633146353489269,1.2633146353489269,1.3650209748514726
2021-03-12,1.2677882721620777,1.2677882721620777,1.3698547731096016
2021-03-15,1.24048332148093,1.24048332148093,1.3403515683226506
2021-03-16,1.251278187403412,1.251278187403412,1.3520155022252507
2021-03-17,1.2565746186524618,1.2565746186524618,1.3577383360660973
2021-03-18,1.266652618764026,1.266652618764026,1.3686276910627968
2021-03-19,1.2334747880374202,1.2334747880374202,1.3327787951704606
2021-03-22,1.2458068507503237,1.2458068507503237,1.3461036817784968
2021-03-23,1.23400689461872,1.23400689461872,1.333353740337727
2021-03-24,1.21416128990135,1.21416128990135,1.3119104150252336
2021-03-25,1.2135848411049421,1.2135848411049421,1.311287557760695
2021-03-26,1.241086868297682,1.241086868297682,1.341003705202189
2021-03-29,1.2432768810327546,1.2432768810327546,1.3433700304507996
2021-03-30,1.2550645198823838,1.2550645198823838,1.3561066629756604
2021-03-31,1.2436414725792007,1.2436414725792007,1.3437639743617042
2021-04-01,1.2590183673962092,1.2590183673962092,1.3603788249824322
2021-04-02,1.2715277989695464,1.2715277989695464,1.3738953599795576
2021-04-06,1.266300344499554,1.266300344499554,1.3682470560678008
2021-04-07,1.2572840940941947,1.2572840940941947,1.3585049296224525
2021-04-08,1.2593706416606811,1.2593706416606811,1.360759459977428
2021-04-09,1.2587409563398508,1.2587409563398508,1.340298332659015
2021-04-12,1.2587409563398508,1.2587409563398508,1.3169837737697239
2021-04-13,1.2587409563398508,1.2587409563398508,1.314825067609293
2021-04-14,1.2587409563398508,1.2587409563398508,1.3257357168714465
2021-04-15,1.2587409563398508,1.2587409563398508,1.3173085113179022
2021-04-16,1.2587409563398508,1.2587409563398508,1.3218894401737613
2021-04-19,1.2587409563398508,1.2587409563398508,1.3540544281425013
2021-04-20,1.2587409563398508,1.2587409563398508,1.353082877281148
2021-04-21,1.2587409563398508,1.2587409563398508,1.357174038031558
2021-04-22,1.2587409563398508,1.2587409563398508,1.3546453440088584
2021-04-23,1.2587409563398508,1.2587409563398508,1.366945444091906
2021-04-26,1.2587409563398508,1.2587409563398508,1.3514512041907114
2021-04-27,1.2587409563398508,1.2587409563398508,1.3549860522561274
2021-04-28,1.2587409563398508,1.2587409563398508,1.3626306935542258
2021-04-29,1.2587409563398508,1.2587409563398508,1.3745900853900044
2021-04-30,1.2587409563398508,1.2587409563398508,1.363761951406486
2021-05-06,1.2587409563398508,1.2587409563398508,1.3471604097016672
2021-05-07,1.2587409563398508,1.2587409563398508,1.3298401865377654
2021-05-10,1.2587409563398508,1.2587409563398508,1.3288739592427758
2021-05-11,1.2587409563398508,1.2587409563398508,1.337029662911778
2021-05-12,1.2587409563398508,1.2587409563398508,1.3427498349694427
2021-05-13,1.2587409563398508,1.2587409563398508,1.3290203573177743
2021-05-14,1.2587409563398508,1.2587409563398508,1.3603282511019783
2021-05-17,1.2587409563398508,1.2587409563398508,1.3801319179744893
2021-05-18,1.2587409563398508,1.2587409563398508,1.3808266433849365
2021-05-19,1.2587409563398508,1.2587409563398508,1.3767461297672539
2021-05-20,1.2587409563398508,1.2587409563398508,1.3805098911863034
2021-05-21,1.2587409563398508,1.2587409563398508,1.3665994122782734
2021-05-24,1.2587409563398508,1.2587409563398508,1.3723062754200295
2021-05-25,1.2587409563398508,1.2587409563398508,1.4156640616681926
2021-05-26,1.2587409563398508,1.2587409563398508,1.4162256979195502
2021-05-27,1.2587409563398508,1.2587409563398508,1.4209210834522261
2021-05-28,1.2587409563398508,1.2587409563398508,1.4163587870786398
2021-05-31,1.2587409563398508,1.2587409563398508,1.4191483358531547
2021-06-01,1.2587409563398508,1.2587409563398508,1.4218393986499436
2021-06-02,1.2587409563398508,1.2587409563398508,1.4080753178169119
2021-06-03,1.2587409563398508,1.2587409563398508,1.398844253742467
2021-06-04,1.2587409563398508,1.2587409563398508,1.4060284065501159
2021-06-07,1.2587409563398508,1.2587409563398508,1.404790677370584
2021-06-08,1.2587409563398508,1.2587409563398508,1.3926769021102616
2021-06-09,1.2587409563398508,1.2587409563398508,1.3938294542279763
2021-06-10,1.2587409563398508,1.2587409563398508,1.403151018930602
2021-06-11,1.2587409563398508,1.2587409563398508,1.390701858989374
2021-06-15,1.2587409563398508,1.2587409563398508,1.375226251570452
2021-06-16,1.2587409563398508,1.2587409563398508,1.3523162837247928
2021-06-17,1.2587409563398508,1.2587409563398508,1.3580124997338217
2021-06-18,1.2587409563398508,1.2587409563398508,1.3581668831583655
2021-06-21,1.2587409563398508,1.2587409563398508,1.3549514490747643
2021-06-22,1.2587409563398508,1.2587409563398508,1.3634079342433083
2021-06-23,1.2587409563398508,1.2587409563398508,1.3701236132109624
2021-06-24,1.2587409563398508,1.2587409563398508,1.3724074231809373
2021-06-25,1.2587409563398508,1.2587409563398508,1.3947664019079662
2021-06-28,1.2587409563398508,1.2587409563398508,1.3979046442792955
2021-06-29,1.2587409563398508,1.2587409563398508,1.3816092076403823
2021-06-30,1.2587409563398508,1.2587409563398508,1.390526181299376
2021-07-01,1.2587409563398508,1.2587409563398508,1.3920221034475415
2021-07-02,1.2587409563398508,1.2587409563398508,1.3524839760652456
2021-07-05,1.2587409563398508,1.2587409563398508,1.3537270288111412
2021-07-06,1.2587409563398508,1.2587409563398508,1.3530110091352399
2021-07-07,1.2587409563398508,1.2587409563398508,1.3682869828155277
2021-07-08,1.2587409563398508,1.2587409563398508,1.3543844892570431
2021-07-09,1.2587409563398508,1.2587409563398508,1.3493750133089157
2021-07-12,1.2587409563398508,1.2587409563398508,1.3662161155000958
2021-07-13,1.2587409563398508,1.2587409563398508,1.368715529907796
2021-07-14,1.2587409563398508,1.2587409563398508,1.3530056855688763
2021-07-15,1.2587409563398508,1.2587409563398508,1.3712069589659504
2021-07-16,1.2587409563398508,1.2587409563398508,1.3561173101083879
2021-07-19,1.2587409563398508,1.2587409563398508,1.361100168224697
2021-07-20,1.2587409563398508,1.2587409563398508,1.359902365792892
2021-07-21,1.2587409563398508,1.2587409563398508,1.369231915845063
2021-07-22,1.2587409563398508,1.2587409563398508,1.3712841506782223
2021-07-23,1.2587409563398508,1.2587409563398508,1.3546426822256765
2021-07-26,1.2587409563398508,1.2587409563398508,1.3110080705266072
2021-07-27,1.2587409563398508,1.2587409563398508,1.2646957049466578
2021-07-28,1.2587409563398508,1.2587409563398508,1.2671365601243583
2021-07-29,1.2587409563398508,1.2587409563398508,1.2910367113136434
2021-07-30,1.2587409563398508,1.2587409563398508,1.2806291390728477
2021-08-02,1.2587409563398508,1.2587409563398508,1.313254615532037
2021-08-03,1.2587409563398508,1.2587409563398508,1.313446263921126
2021-08-04,1.2587409563398508,1.2587409563398508,1.325261919465088
2021-08-05,1.2587409563398508,1.2587409563398508,1.3172286578224484
2021-08-06,1.2587409563398508,1.2587409563398508,1.3100125636166182
2021-08-09,1.2587409563398508,1.2587409563398508,1.3270479759800686
2021-08-10,1.2587409563398508,1.2587409563398508,1.342377185323992
2021-08-11,1.2587409563398508,1.2587409563398508,1.3349747662954365
2021-08-12,1.2587409563398508,1.2587409563398508,1.323797938715104
2021-08-13,1.2587409563398508,1.2587409563398508,1.316512638146547
2021-08-16,1.2587409563398508,1.2587409563398508,1.3152057026042885
2021-08-17,1.2587409563398508,1.2587409563398508,1.2876109963586804
2021-08-18,1.2587409563398508,1.2587409563398508,1.30274057196397
2021-08-19,1.2587409563398508,1.2587409563398508,1.294196247950427
