date,v1.1双周+熔断,v1.0周度,等权持有,沪深300
2020-05-06,1.3338655946628124,1.3052478539638481,1.3499970317807066,1.068291981262654
2020-05-07,1.349272812226832,1.3194543484314118,1.3514979038958617,1.065208895354202
2020-05-08,1.3638039338435983,1.321620940136554,1.3644573988994557,1.0757201556741265
2020-05-11,1.3529737129981627,1.3173019174563692,1.3563366958947378,1.0747865451525531
2020-05-12,1.378828798466681,1.3302530169384674,1.3627868484336059,1.074802829056999
2020-05-13,1.4140995795830138,1.3674460025246191,1.3771753167907241,1.0769767303005466
2020-05-14,1.4161354818146121,1.3537991160931504,1.3677701531462048,1.0652984568286552
2020-05-15,1.4061020460892943,1.344207338617942,1.3650268641409513,1.061933116576472
2020-05-18,1.4518182819530705,1.3879112077026856,1.3797471946874753,1.0646715265074824
2020-05-19,1.449174397939136,1.3853837038818428,1.3866865090452032,1.073719949411337
2020-05-20,1.4333754243175238,1.3702801796789816,1.382759133738636,1.0680124409029967
2020-05-21,1.44027887475948,1.3764229895234719,1.3760421945681938,1.062196373031683
2020-05-22,1.3963891884769304,1.3374938544662425,1.3434438468500638,1.0378437939326173
2020-05-25,1.4141728790238555,1.3522643815289157,1.3536731423288801,1.0392713495557209
2020-05-26,1.447154754443453,1.3784904783457577,1.376201988638053,1.0510636103587345
2020-05-27,1.4327231862433567,1.365398909916607,1.3643713142137257,1.0436924296128232
2020-05-28,1.4299572345365814,1.3588858728324213,1.3634101682607354,1.0466832400627473
2020-05-29,1.4368522065270093,1.3654381527223889,1.3706384597857435,1.0495030695159882
2020-06-01,1.4819260651037722,1.408271762130197,1.4137760494582405,1.0778153513795181
2020-06-02,1.4656905114767613,1.3928431437572089,1.4088559303937476,1.0811345539024377
2020-06-03,1.4698849015518027,1.3968290653501505,1.4059665347816959,1.0811562657750324
2020-06-04,1.4723049561586345,1.3986632293453327,1.408306952327797,1.0807600241001787
2020-06-05,1.4871767233925604,1.4212678875973785,1.4207909501896798,1.0859328777458734
2020-06-08,1.4913391924066328,1.4217467514409088,1.4154501008331892,1.09155082477976
2020-06-09,1.5151659623651992,1.4530783065759834,1.4328230309500891,1.0983574968382086
2020-06-10,1.520510463114283,1.4617275822103641,1.4381506068110903,1.0963708604957907
2020-06-11,1.5108297661069159,1.447806367141694,1.4297552230908923,1.084475468297952
2020-06-12,1.5013519398229915,1.4387239029565415,1.4291343095385929,1.0864295368314778
2020-06-15,1.468561878703457,1.4073016604691189,1.414221090915757,1.0733779874179699
2020-06-16,1.5193997157918502,1.4560188262805578,1.442779169911437,1.0895479045328962
2020-06-17,1.5224668299234043,1.458957997501586,1.4429323735503665,1.0903675277233473
2020-06-18,1.5378452827509135,1.4732086276387983,1.4517097734535576,1.097638291058508
2020-06-19,1.5614657821918587,1.5070479752456327,1.4694781868536504,1.1123833665344052
2020-06-22,1.584869484782088,1.5341213097736108,1.4865004935258668,1.1132898372152353
2020-06-23,1.6323449929718241,1.5820925066699798,1.5051447184519255,1.1186472417779854
2020-06-24,1.6323449929718241,1.5820925066699798,1.5099302845884042,1.1233152943858524
2020-06-29,1.612368199486407,1.5798095448998932,1.49560292058898,1.1153714630002551
2020-06-30,1.6546759539199176,1.6212629761314388,1.5231362952401213,1.1300921126194832
2020-07-01,1.7189465594747166,1.6842357612212897,1.5502196757544318,1.1528407271306131
2020-07-02,1.7250331834337846,1.6901994775919145,1.581142166949454,1.1767400708892641
2020-07-03,1.7291478816660808,1.6942310874585906,1.6120278701958046,1.1994724014959481
2020-07-06,1.7717173175328056,1.735376172277547,1.6831504534690835,1.267454988574127
2020-07-07,1.8276488897866598,1.7791189795463533,1.6910732680039384,1.2750649999185806
2020-07-08,1.8447069460913355,1.8080790829356357,1.720181054072095,1.2956559970906092
2020-07-09,1.9095622399293244,1.8659697750852149,1.753363325336828,1.3137772687549871
2020-07-10,1.9270606005299251,1.8806198949153983,1.7411641795184012,1.2899919123274586
2020-07-13,2.056595622281866,2.0091101663801862,1.8035339972843165,1.3170856153416093
2020-07-14,2.028392434441726,1.9815581718120534,1.7854125348320655,1.3045280110296311
2020-07-15,2.0248936231536265,1.978140145801978,1.769584163666384,1.2876416021190789
2020-07-16,1.856033063368988,1.813178466564547,1.671041220616158,1.2257030575744583
2020-07-17,1.849584071355559,1.8068783775841428,1.6857519996587487,1.2334243422659597
2020-07-20,1.875205425111781,1.8313058581463466,1.717156478992749,1.2702259663140298
2020-07-21,1.8994205921965952,1.8684739950749358,1.7345446675319087,1.2731407852098724
2020-07-22,1.9407888788608239,1.911595897405432,1.7534959244363209,1.2794942219279057
2020-07-23,1.9469433517259769,1.9275786989246453,1.7570709460578335,1.278948711128963
2020-07-24,1.8235339106250996,1.8114423427686708,1.6800059312756173,1.2228099505512102
2020-07-27,1.834373806649371,1.8314400911717759,1.6937735597305354,1.2290141181451548
2020-07-28,1.834373806649371,1.8314400911717759,1.708254261992929,1.2398184887451082
2020-07-29,1.861665909674749,1.8586885459152325,1.7486066504204931,1.2698758623684396
2020-07-30,1.8557698972925645,1.8528019630303068,1.7390925777395212,1.263671694774495
2020-07-31,1.8822117112640284,1.8792014885878048,1.7606561071071867,1.2742290928236835
2020-08-03,1.895969003813973,1.892310378592714,1.7906253595211266,1.2949259353746114
2020-08-04,1.8999777723805031,1.873719069269967,1.7889501833957075,1.2961445142239907
2020-08-05,1.9331919522993941,1.906474211561035,1.7994655643351463,1.2965000461377292
2020-08-06,1.9211439255311462,1.8701507178578598,1.7936902528774223,1.2926054789910493
2020-08-07,1.9087082086508176,1.833109741147233,1.7655059833479403,1.2777247043114353
2020-08-10,1.9037141912829776,1.8410434512674037,1.7726429425678532,1.2823221933333695
2020-08-11,1.8661289767173002,1.8046955512215532,1.751687374408072,1.270627635957032
2020-08-12,1.7989772113891718,1.7397544385458745,1.7162199573147374,1.2613620943272306
2020-08-13,1.8019189325737066,1.7425993175445402,1.726303111632152,1.2581243113265412
2020-08-14,1.8173100680076337,1.7574837730095199,1.7497056200719887,1.2768290895669026
2020-08-17,1.8459760016198312,1.784034361178808,1.7924015168456968,1.306845753429119
2020-08-18,1.8765338074532365,1.8004500050131975,1.8024894970981595,1.3061753993627567
2020-08-19,1.8377083111802588,1.7760018442555747,1.7756467322779805,1.2866130021549034
2020-08-20,1.8063799877732978,1.7277543671978859,1.7451988530016374,1.2699138581454803
2020-08-21,1.822135177049916,1.7620482497100218,1.7685554294540968,1.2806856609365418
2020-08-24,1.8228661558598929,1.7940990296187806,1.7845422810386598,1.2907301159956794
2020-08-25,1.8866624526506242,1.8568885404106636,1.8053287608888602,1.2923856462810277
2020-08-26,1.8684194781801995,1.8389334630784449,1.7817655382978221,1.2772361871780538
2020-08-27,1.9037971159508624,1.8737527971203403,1.8011776679311362,1.284080855013543
2020-08-28,1.9621471829075658,1.9311820264516784,1.849224522262697,1.3147271631810067
2020-08-31,1.9848225410289875,1.9534995388324543,1.8441966054003605,1.3071144378524788
2020-09-01,1.9899929356257327,1.9585883380835385,1.854976557968951,1.314143656605023
2020-09-02,2.0061557097816403,1.9744960432849565,1.8567708194420414,1.3146240317861817
2020-09-03,2.049884502703889,2.017534740720863,1.8599157560067814,1.307353268451021
2020-09-04,1.9594278065555124,1.9285055652870975,1.8257324057065096,1.294630111110508
2020-09-07,1.8766602211394974,1.8470441567237716,1.7774309597976417,1.2672595817207746
2020-09-08,1.8952615405429403,1.8653519238541583,1.7936843890305627,1.274049969874777
2020-09-09,1.8264843976102656,1.79766017095239,1.7364296747028223,1.2442504247385078
2020-09-10,1.8715606164319873,1.842025030208217,1.7313583777662132,1.2435420748951045
2020-09-11,1.8845247857199654,1.8547846085593787,1.7468254469365698,1.2558364227518712
2020-09-14,1.9140299717590155,1.883824165562076,1.7617738921036556,1.262287562896581
2020-09-15,1.9155898983863657,1.8853594745804638,1.774100528039903,1.272446005286841
2020-09-16,1.8930970994995417,1.8632216404193895,1.756686272259793,1.2640000868474903
2020-09-17,1.8392379093283664,1.8102124161757276,1.7355419362181772,1.2573101161042388
2020-09-18,1.8732015481912512,1.843640065995404,1.7782316900152313,1.2856386818722148
2020-09-21,1.8413260140907681,1.8122675680122595,1.7608748650515538,1.2732466305887717
2020-09-22,1.8277868522224536,1.79894207118864,1.7387430807998725,1.2581378812469128
2020-09-23,1.7970158990828464,1.7686567224861334,1.738823173260732,1.2626349528580967
2020-09-24,1.7790672889358254,1.750991364037155,1.703806869425975,1.2384099310105248
2020-09-25,1.7971132328294444,1.76875252018349,1.708751270552234,1.2402961499421923
2020-09-28,1.7955889637600384,1.7660731376550356,1.714679655201114,1.2435230770065842
2020-09-29,1.791930258228054,1.7885995807373702,1.7229442188620119,1.246207207256108
2020-09-30,1.791930258228054,1.7885995807373702,1.7265916011262608,1.2450130542633975
2020-10-09,1.8022287079879855,1.7885995807373702,1.7658093746779142,1.2704539409762745
2020-10-12,1.8517511956519412,1.8066207352032377,1.8256068442943358,1.3089979428000718
2020-10-13,1.8382413076617838,1.8003088258515676,1.830180429295465,1.3133511732553154
2020-10-14,1.8297309312374237,1.7919740627689213,1.817533032259776,1.3046392843766794
2020-10-15,1.8117923926958803,1.7744056896045202,1.8073054455864628,1.3023703936905298
2020-10-16,1.7926199864239662,1.7556289098203453,1.8016946811186196,1.300454320934045
2020-10-19,1.7750457725397228,1.7384173434001287,1.789820729223364,1.290632412569003
2020-10-20,1.8142352610069277,1.775639203937445,1.8091399021253525,1.300940124083352
2020-10-21,1.8050724566584078,1.7680626925341112,1.8038965286630901,1.300766429102594
2020-10-22,1.787364728918524,1.767799892461916,1.7937135483213658,1.296736162752197
