code,task,model,rmse,mae,r2,dir_acc,params
sh510300,回归,随机森林,0.010401777966633786,0.007439589007953968,-0.011150615714244916,0.5077319587628866,"{""max_depth"": 4, ""min_samples_leaf"": 20, ""n_estimators"": 400}"
sh510300,回归,KNN,0.010571634807108201,0.007620675659594781,-0.04444360859342589,0.5231958762886598,"{""n_neighbors"": 25, ""weights"": ""distance""}"
sh510300,回归,GBDT,0.010758371869137114,0.007595902489779518,-0.08166753708988139,0.5051546391752577,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 150}"
sh510300,回归,XGBoost,0.010703063854605779,0.007650005153892718,-0.07057457490623542,0.49742268041237114,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}"
sh510300,回归,LightGBM,0.010620992673244782,0.007572461398705791,-0.05421917369453233,0.5,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""num_leaves"": 15}"
sh510500,回归,线性回归,0.014469736225956936,0.010900712534828287,-0.04324816860721792,0.4639175257731959,{}
sh510500,回归,Ridge回归,0.014281989565005463,0.010652263268350184,-0.016351249169249016,0.4845360824742268,"{""alpha"": 50.0}"
sh510500,回归,决策树,0.014388084185032011,0.010810510577820358,-0.031507387982753654,0.4948453608247423,"{""max_depth"": 3, ""min_samples_leaf"": 50}"
sh510500,回归,随机森林,0.014229887277810006,0.010559220611755123,-0.008949250591532731,0.48711340206185566,"{""max_depth"": 4, ""min_samples_leaf"": 50, ""n_estimators"": 400}"
sh510500,回归,KNN,0.014341835065785144,0.0105680381422088,-0.0248866824186309,0.4845360824742268,"{""n_neighbors"": 45, ""weights"": ""uniform""}"
sh510500,回归,GBDT,0.014369132225968117,0.01057302275247652,-0.028791778242181376,0.5,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 150}"
sh510500,回归,XGBoost,0.014507522641247786,0.01068204396445562,-0.048703980602907704,0.5051546391752577,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}"
sh510500,回归,LightGBM,0.014535046192840432,0.010795468722020016,-0.052686940224033973,0.5128865979381443,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""num_leaves"": 15}"
